",""text"""
"115,""belanja yang tidak perlu was tokonya bagus pilihan bnyak promo dr shopenya"""
"116,""bagus"""
"117,""biaya pengiriman pilihan murah bersahabat perlu perbaikan penjelasan spesifikasi kurang lengkap kegunaan barang perlu contoh harga barang miring"""
"118,""cepat"""
"119,""cerdas cepat tanggap"""
"120,""e commerce bagus"""
"121,""gabisa milih metode pembayaran indomaret alfamart"""
"122,""gaga"""
"123,""gatau nyaman aja fr fr dalemnya udah coba install app tetep gampang diaplikasiin jelas penataan fotonya cepat shoppe  pindah kelain hati """
"124,""bagus """
"125,""gratis onkirnya ko byk yang g klaim """
"126,""hp vivo mahal"""
"127,""ikan hiu makan tomat cakeppp """
"128,""istimewah"""
"129,""jelek"""
"130,"" kesini subsidi ongkir jadi shopee mahal ongkir pengguna jadi kecewa"""
"131,""kemudahan berbwlanja"""
"132,""kepastian sampainya produk konsumen cepat keutuhan produk pesanan disampaikan secara baik """
"133,""bagus aplikasi"""
"134,"" kasih bintang mao beli skin fany lingrom"""
"135,""koq shoppe lambat gni yah pas masukny"""
"136,""lumayanlah """
"137,""maap kurangi bintangnya kmrn beli mainan keledai anak memberi ulasan pihak shopee katax bukti kurang jelas pdhl keledainya bocor complain tokonya tokonya dilempar kebijakan shopee baru mainan keledainya langsung potoin jg trs kasih ta """
"138,""mantaap"""
"139,""bagus membantu berbelanja"""
"140,""bagus shope lumayan bnyak promo"""
"141,""bagus terus shopee jadilah bintang ditingkatkan pelayanannya terus menjadi terbaik ketinggalan pelayanan terbaik konsumen """
"142,""bagus shopee the best """
"143,""bagus belanja mudah hee"""
"144,""bagus shopee"""
"145,"" belanja online shopee """
"146,""membantu"""
"147,""memenunggu shoope paylatter biar belanja nya non sbagus bagus job shoope"""
"148,""ngebantu bgt"""
"149,""no hp terdaftar tp tulisannya terdaftar ni"""
"150,"" senang belanja online trs sy malam hari nyaldo shopeepay an  bayar belanjaan d malam saldo masuk tp baru klik pesanan tiba aplikasi keluar sndr pemberitahuan akun d blokir transaksi pertama sy kecewa ulasan lengkap"""
"151,""payah nih ongkir mahal bgt tergiur tokped yang gratis ongkir"""
"152,""penarikan dana dr shopeepay rek bank yang hngan menit rek yang dju """
"153,""pengguna baru dapat token gratis hoax"""
"154,""pertama kali belanja shopee suka"""
"155,""puas belanja shopee tidak kena ongkir karena kasih voucher gratis ongkir bebas pilih barang yang jauh murah dr offline store """
"156,""puas berbelanja shopee"""
"157,""puas bgt cm sya tanya  jualan shopee gmna caranya """
"158,""puas pkoknya"""
"159,""puassss """
"160,""pulsa ku masuk """
"161,""ruwett"""
"162,"" bermanfaat"""
"163,"" membantuu lahh """
"164,"" menyenangkan belanja shopee bertanggung jawab"""
"165,"" suka"""
"166,"" suka aplikasi gratis ongkir barang terjamin super duper ok recomended banget dah"""
"167,"" senang belanja shopee karena barangnya murah pastinya bagus """
"168,"" senang dng pelayanan dagang shopee jujur metipu klo barang habis uang kembali online shop yang bnyk sendikat petipu """
"169,"" segini sek nnt bonus dah"""
"170,"" disiniii """
"171,""senang belanja shopee"""
"172,""senang senang"""
"173,""senang banget belanja dishopee dapet voucher potongan ongkir jd tambah semangat belanja thanks shopee"""
"174,""servis memuaskaan"""
"175,"" barang yang dibeli memuaskan"""
"176,""shopee aneh kacau masa oderan sistm cod hilang tiba metode nya"""
"177,""shopee bagus sy sdh kali mengajukan pengembalian dana karena yang kurang jg karena mmg barang yang dikirim sesuai dgn diskripsi foto direspon dgn baik shopee asalkan mengikuti prosedur yang tlh ditetaplikasian terima kasih shopee"""
"178,""shopee bagus """
"179,""shopee menguntungkan pembeli penjual trima kasih shopee """
"180,""shopee yang gk jelas masak  isi pulsa pln saldo udah kepotong gk masuk kode nya shopee gk jelas """
"181,""shoppe baik hati percaya nambah paylater """
"182,"" belanja belum dapet payletter ga danta"""
"183,""suka si belanja dsni dapat limit shopeepay tambah shopee pinjam lumayan klo kepepet trus pengen belanja pake tpi ng skrng udah ngga pake kredivo bayar cicilan kredivo udah ngga """
"184,""tempat belanja andalan hehehe"""
"185,""terbaik"""
"186,""theeeee besttt"""
"187,""tingkatkan"""
"188,""tingkatkan kwalitasnya"""
"189,""toko online shopee bagus percaya """
"190,"" aktransferkan shopee pay later pengguna shopee"""
"191,""trimakasih shopee"""
"192,"" jadi kecanduan nih nelanja shopee"""
"193,""ya g deh"""
"194,"" aplikasinya lumayan berat"""
"195,"" seller yang baik yang baik yang kurng ramah tp ok klo tuk aplikasi shoppe nya bagus """
"196,"" update an nya bikin gampang jadi rumit """
"197,""agen terpecaya  belanja online"""
"198,"" suka shopee"""
"199,"" suka susah ganti username"""
"200,""alhamdulillah alhamdulillah nyaman skali sistem shopee skrng nya cod pinjamanan dana pembayaran tempo shopee bintang nya tambain da pass t puassss belanja shopee sukses truss shopee love you """
"201,""alhamdulillah bagus aplikasi nya membantu orang"""
"202,""alhamdulillah ngebantu banget yang jualan online pake aplikasi shopee ngebantu klo order flash sale shopee hihihii mayan murahhh gaess pokoe baguspp deh voucher freeong sm cashbacknya loh mayaaan ayo yang pake shopee buruaan download ga kec ulasan lengkap"""
"203,""aplikasi yang membatu  berbelanja berjualan"""
"204,""aplikasinya lambat bgt fotonya lambat bgt muncul kesal bgt pdhl sinyal baik """
"205,""aplikasi belanja online terbaik"""
"206,""aplikasi belanja onlineshopee terbaik tampilan aplikasinya friendly jenis pembayaran promonya beneran tidak tipu tipu alias menguntungkan pembeli """
"207,""aplikasi tai"""
"208,""aplikasi yang  orang jadi betah belanja dirumah """
"209,""bagus"""
"210,""bagus tidak mengecewakan belanja semoga kedepannya shoppe menarik promonya game berhadiahnya free ongkir sukses """
"211,""bagus mudah cara pembayarannya"""
"212,""bagus murah barangnya"""
"213,""bagus bagus """
"214,""bagus bagus"""
"215,"" ongkir gratis ng jarang instannya"""
"216,"" potongan ongkir"""
"217,""baru coba semoga bermanfaat aplikasi nya"""
"218,""belanja aman """
"219,""belanja shopee kereeen cepat mudah lengkap diskon """
"220,""belanja shopee menyenangkan promo bebas ongkir terima kasih shopee """
"221,""belanja shopee puas barang nya cepat sampe yang penting ori"""
"222,""belanja shopee senang banget tidakk mengecewakan kaya d toko sebelah"""
"223,""belanja hemat puas """
"224,""belanja mudah"""
"225,""bnyk gratis ongkir mkaih shopey"""
"226,""buruk"""
"227,""cepat sesuai"""
"228,""cyman jangan pake jasa pengiriman yang lola"""
"229,"" keamanan shopee kurang karena byk kasus pembeli belaja yang dirugikan kadang barang tidak jumlah barang kurang n barang datang dlm keadaan rusak pembeli menangung kerugian lg djual lg jd  pihak shopee  dtingkatkan lg keamanan customer krn sd """
"230,"" barang palsu belanja shope tindak lanjut penjual shope berhati belanja shope """
"231,"" kemarin buka menu jasa kirim loading terus gabisa """
"232,""ff"""
"233,""ga paham da sma shopee ga tau pnjual emng dri shopeenya banget pengirimannya statusnya dikemas mulu sampe batas waktu uang dikembaliin shopee pay udh beli kali bgtu kesal """
"234,""bagus """
"235,""is the best"""
"236,"" downold shopee udah log in tiba log in koin ku hilang pokoknya nih shopee dihapus play store"""
"237,""jos"""
"238,""jozz gandoss pokoknya"""
"239,""kereen"""
"240,""bagus bosa"""
"241,""klo belanja online ya shopee"""
"242,"" susah bnget skrng upload video penilaian stuck panas hp proses ny jaringan kenceng seakan ga dpat koin nih  perbaiki"""
"243,"" ok shopee"""
"244,""maaf dikurangin bintangnya baru kemaren diupdate skrng diupdate udah shopee suka error foto produk tidak kebuka """
"245,""mamtap"""
"246,""mantaaap sukses kedepannya shoopee """
"247,""bagussss"""
"248,""baguspp"""
"249,""baguss"""
"250,""baguslllllllll"""
"251,"" belum puas"""
"252,"" belanja malas keluar rumah shoope aja kualitas produk pilihan"""
"253,""mempermudah berbelanja keperluan keluar rumah apalg pandemi membantu """
"254,""memudahkan"""
"255,""memudahkan  yang belanja praktis"""
"256,""menyediakan kebutuhan barang lengkap"""
"257,""minta update terus maksudnya """
"258,"" bantuannya koq voucher gratis ongkir cod gk digunakan jasa kirim yang dipakai mendukung  cod bulan kemarin pakai  koq ya """
"259,""muantep tenan"""
"260,""mudah gunakan """
"261,""ntap"""
"262,""nyaman belanja shopee"""
"263,""ok bagus"""
"264,""ok kebutuhan disaat pendemi"""
"265,""opsi bagus"""
"266,""overall ok"""
"267,"" suka"""
"268,""penanganan pengiriman nya lambat ongkir nya mahal """
