",""text"""
"1498,""bagus  bagus up uc pubgm"""
"1499,""bagus promo free ongkir"""
"1500,""bagus"""
"1501,""bantu banget"""
"1502,"" barang bagus murah senang banget jg bnyak promo diskon bakal langganan terus btw udah langganan tahun """
"1503,""banyakk voucher terutama gratis ongkir ajaa yang dicari adaa hari selaluu cekk shopee liat barang masukin keranjang ujung ny lupaa """
"1504,""barang rekomended berkualitas promo bebas ongkir """
"1505,""barangnya bagus pengiriman cepat dy sukaaa"""
"1506,""belanja aman nyaman"""
"1507,""belanja dishopee harga terjangkau bagus banget"""
"1508,""belanja happy with shopee serba mudah murah tpi gk murahan kebutuhan hidup gaya hidup shopee sj """
"1509,""bertahun tahun pakai shopee  order keperluan karena emang suka belanja online temen pacar gebetan selingkuhan tetangga pak rt pak rw warganya kaka adik nyokap dll ikut keracunan pake hahaa gila pokonya kalo udah belanja shopee sampe jadi member gold udah tidak """
"1510,""best"""
"1511,""cicilan shoopepaylater cm sampe x doang x biar enak makenya"""
"1512,""coba ah"""
"1513,""da best"""
"1514,""dah pokoknya bagus belanja rebahan """
"1515,""ga konfirmasinya kalo kenaikan sgl macem jauh mending jabdoetabek kena potongan saldo orang yang untung rugi dipikir notifikasi telp kek dipisahin beratnya sesuai pdhl kalo dihub dicancel pesanannya dlu di banget si ulasan lengkap"""
"1516,"" tidak menjamin keamanan pelanggan ketipu beli lemari katanya pake armada jne kirim kertas kosong tidak diproses tokonya udh kemana ya call centet lapor polisi tai diproses nama tokonya istana divan """
"1517,""tidak menyesal kalo udah belanja shopee """
"1518,""foto sesuai cepat"""
"1519,""gara instal jd beli akibat suruh rumah aja lumayan """
"1520,""gimana sih udah isi saldo shopeepay mengganti nomor telepon  mendapatkan otp ganti pin karena pin yang lupa eh mlh logut ga masuk """
"1521,""bagus app"""
"1522,""bagus lh shopee"""
"1523,""bagus olshop thanks """
"1524,""bagus """
"1525,""gratis ongkir ttp kehng biaya ongkir nya"""
"1526,""gratis ongkir juara"""
"1527,""gratis ongkirrrr jossss lambatnya ampun kalo flash sale harga gila """
"1528,""halo ka maaf ya kasih bintang soalnya pulsa rb ga masuk masuk udah konfirmasikan yah angus deh pulsa manaan rb """
"1529,""iklan na pembohong katanya na instal app na beri pulsa gratis pengguna baru taek """
"1530,"" aplikasi belanja online favorite akuu hp aplikasi belanja online shopee coba yang kurang memuaskan pokonya tetep sucsess shopee """
"1531,""jooz"""
"1532,""joss pokok"""
"1533,""josss annzzziiim bgt"""
"1534,""josss kurir ramah pengiriman cepat"""
"1535,""jossss gandoss krotos krotos montos oke"""
"1536,""juara"""
"1537,""kadang foto kog harga beda trus barangnya gimana tu """
"1538,""katanya gratis ongkir liat gratis ongkir yang barang harga mahal gratis ongkir dibawah ndk gratis ongkir """
"1539,"" akun dibajak shopeepay dikuras payah bngt keamananya"""
"1540,"" ongkir jnt mahal banget yah berat kg rp """
"1541,""bagus"""
"1542,""bagus banget"""
"1543,""baguslah membantu """
"1544,""kenapa akun shoope pay non aktifkan anjing saldonya tai"""
"1545,"" kenapa ya tiba ngk pesanan """
"1546,""ko pny update aplikasi keluar terus """
"1547,"" tidak jadi reseller sih"""
"1548,""komplit """
"1549,"" layanan sistem d kelola shopee rumit ga x cekout klo lokasi gudang produk yang d beli menyediakan produk yang d gudang shopee standard express keterangan  pulau jawa ga d gunakan alamat jawa timur """
"1550,""luar """
"1551,""lumayan"""
"1552,""maaf bertanya klo jualan dishopee caranya gimana ya"""
"1553,"" buruk shoppeepaylater limit balik bangkrut mengutamakan pengguna baru nih aplikasi aneh """
"1554,""bagus belanja pakai shopee """
"1555,""bagus pokoknya shopee belanja online murah meriah target sebentar platinum """
"1556,""mantep"""
"1557,""bagus """
"1558,""mas brpa jam tnganya yang kuning mas otomts insya alloh q mw bli"""
"1559,"" add alamat shoope express susah banget pake auto lokasi asalasalan """
"1560,""membantu"""
"1561,""membantu kebutuhan belanja harian"""
"1562,""mempermudah belanja discount"""
"1563,""memuaskan"""
"1564,""memuaskan berbelanja shopee"""
"1565,""memudah pembeli dgn fr yang disediakan"""
"1566,""menyenangkan"""
"1567,""  point shopee nya digunakan  membeli barang"""
"1568,""mudah belanja shoppe prosesnya cepat penjual barangnya original"""
"1569,""ngerugiin pembeli dimana pembeli raja masa ngurus masalah aja tidak becus aja gk yang d rugikan"""
"1570,""tidak enak jelek busuk jijik dijai najis begoo"""
"1571,""ok sopy sy belanja  jaga kwalitas produk sy belanja tidak mengecewakn trks sopy"""
"1572,""okeh"""
"1573,""okelah ya"""
"1574,""ol shop terbaik indonesia """
"1575,""ongkir sihh kemahalannn"""
"1576,""over all bagus yang shoope mulai disc harga produk kadang mengecewakan server error tampilan semoga ditingkatkan kualitas servernya ya shoope kecewa sh semenjak pengi """
"1577,""payah isi ulang pulsa suka telat gangn jam gimana kalo orang butuh cepat  diperbaiki """
"1578,""pelayanan yang cepat tepat"""
"1579,""pengiriman cepat"""
"1580,""pengiriman cepat terimakasih"""
"1581,""pokoknya bagus deh"""
"1582,""pokoknya oke deh bagus gaes"""
"1583,""produk murah promo"""
"1584,""proses cepat"""
"1585,""puas banget kualitas barang yang bagus"""
"1586,""puas belanja shope"""
"1587,""puas belanja shopee nya menu shoppe paylater belanja barang diskon bayar pas gajian shoppe  kembalikan limit paylater dunk cicilan sya lunas """
"1588,""puas belanja dshopee """
"1589,""punya penagih  ajarin sopan santun tidak asal nagih aja terus nyucapin kata kata kasar nagih memberi solusi tidak asal marah sembarangan"""
"1590,""rentan kena petipuan mengatas nama shopee  pihak shopee aplikasi nya perbaiki bener safety karena mengalamai nya """
"1591,""samgat baik"""
"1592,"" puas"""
"1593,"" butuhkan disaat pandemi yang dimana malas keluar rumah"""
"1594,"" membantu beli barang"""
"1595,"" membantu murah"""
"1596,"" puas"""
"1597,"" puas belanja shopee"""
"1598,"" puas harga yang tertera shopee"""
"1599,"" ramah banget  pengguna shopphe mentidaku ntidaku customer shopphe udah layanan nya bagus eh petipu """
"1600,"" terbantu dg belanja d shopee lg klu tinggal d daerah skrng jd mudah tinggal buka shopee aja lg promo pot ongkir """
"1601,"" beli lcd shopee gatau barangnya ori kw pas cek bagus pas pasang coba lcd cepat panas gatau trus coba pakai lcd ternyata ga panas ternyata masalahnya lcdnya chat tokonya awalnya respon kelamaan res ulasan lengkap"""
"1602,"" kasi bintang satu belanja online lewat cod gk direspon pihak tokonya sdh menyetujuinya"""
"1603,"" suka cepat mudah mencari """
"1604,""semenjak shoppe belanja jadi gampang seller produk free ongkir pastinya star for this market place """
"1605,"" keluar aplikasi minta updet terus """
"1606,"" update keluar meni lucu """
"1607,""shopee jempol"""
"1608,""shopee ok semoga sukses shopee """
"1609,""shopee bagus pengirimannya """
"1610,""shopee tempat belanja masakini membahana """
"1611,""shopee bagus"""
"1612,""shopeepaylater nya disesuain berbulan bulan nyampe limitnya limit diambil mending gausah adain paylater shopee paylater ga digunain limitnya diambil alesannya penyesuaian covid ledigg """
"1613,"" bertahun belanja shopee puas baru minggu penawaran paylater tp pd aktifasi keterangannya gagal restart aplikasi sdh logout login kembali gagal sdh clear cache gagal sdh komplain shopee chat email tidak ad """
"1614,"" jelas gratis ongkir belanja ecomm sebelah udah berkali ketagihan belanja shopee bagus job """
"1615,""suka bangettt """
"1616,""sukaaaaaaaaaaaaa"""
"1617,""sukak banget pokoknya respon penjualnya cepat i love it"""
"1618,""sy suka banget aplikasi shopping drpd aplikasi nya tampilan menu nya teratur ga bikin pusing """
"1619,""tempat belaja harga baik"""
"1620,""tempat belanja yang nyaman pilihan bnyk promo barang datang sesuai expektasi """
"1621,""tempat shopping terbanyak pilihan"""
"1622,""terima kasih shopee membantu disaat pandemi covid yang berbelanja keluar rumah"""
"1623,""terpercaya"""
"1624,""thank you"""
"1625,""titip bintang"""
"1626,"" perbaiki shopee lambat banget hp j pro ram aplikasi sebelah tidak lambat cepat banget"""
"1627,"" diperbaiki aplikasi shopee lambat sinyal lancar ttp lambat server penuh  ditingkatkan """
"1628,""verry bagus"""
"1629,""voucher  biaya pengiriman klo bsa dibikin gratis gan """
"1630,""voucher gratis ongkir syarat potongannya voucher cashback hilang ayolah udah """
"1631,""yang bikin kecewa voucher gratis ongkir udah tidak kaya pakai gratis ongkir beneran gratis kepotong setengahnya aja """
"1632,"" """
"1633,""alhamdulillah belanja shopee barang sesuai orderan yang dtg pengiriman ny tidak byk ksh gratis ongkir nya ya krn manfaatkan daerah yang jauh dr pusat kota """
"1634,""aman terjamin"""
"1635,""aman terpercaya"""
"1636,""anjing babi shoppe tolol awas lo muncul """
"1637,"" shope kerja jd union menghasilkan uang merugikan uang"""
"1638,""aplikasi gk guna"""
"1639,""aplikasi belanja online recomanded"""
"1640,""aplikasi pembelian mudah murah"""
"1641,""bagus"""
"1642,""bagus"""
"1643,""bagus"""
"1644,""bagus banget"""
"1645,""bagus kwalitas barang bagus """
"1646,""bagus pengiriman ok kalo cod barang nya nggk nyampe nyasar"""
"1647,""bagus komenan inisial dania setiawan menyatakan aplikasi kalo mencari kurang lengkap coba koreksi dlu yang ngomen barangnya yang tidak lengkap kantong lu uang dompetnya lengkap isi dompet doang sok sok an beli aja masi ngutang temen lu jul kalo ngomong """
"1648,""bagus bangettttt"""
"1649,""baik"""
"1650,""baik"""
"1651,""barang nya bagus pengiriman cepat """
"1652,""barang lengkap harga sesuai kualitas"""
"1653,""belanja ribuan ongkir ribuan anjaf x banget"""
"1654,""belanja d shopee menyenangkan barang barang nya cepat sesuai diskon nya """
"1655,""belanja puas harga pas"""
"1656,""beli barang shopeee harga kaki kualitas bintang """
"1657,""belnja aman"""
"1658,""bikin pusing loadingnya minta ampundah"""
"1659,"" cod bagus"""
"1660,""belanja shoppe menyenangkan """
"1661,""caraaaat"""
"1662,""clear"""
"1663,""coba ya"""
"1664,""cukup puas pelayanan cepat menyenangkan"""
"1665,""d cikampek pake rp"""
"1666,""deskripsinya menyusul """
"1667,""emang beneran klau download aplikasi shopee pulsa k gratis """
"1668,""excellence"""
"1669,""gatau kali masuk banget jaringan internet tiba jadi lambat terutama pas cari barang beda aplikasi sebelah ijo tetap stabil buka aplikasi """
"1670,""gila musim corona musim orang susah phk shopeepay later msh aja ngmbil biaya keterlambatan udah dicicil msh aja biayanya tidak nyaman banget jadinya"""
"1671,""bagus """
"1672,""goood"""
"1673,""goooood"""
"1674,""great """
"1675,""hallo selamat siang maaf bertanya shoope progam hadiah barusan sms katanya mendapatkan hadiah uang tunai jumlahnya sungguh menggiurkan bertanya takut modus petipuan"""
"1676,""i like"""
"1677,""iklan shoope vulgar bikin ngaceng adik mbok ya ganti dgn yang sopan oke """
"1678,""joooossss"""
"1679,""josssss"""
"1680,""jual beli mudah free ongkir"""
"1681,""kak tanya akun shopeepaylatter hack orang gimnaa ya akun hack orang paylatter pakai  kak yak konfirmasinya ganti pass akun syaa"""
"1682,""kasih bintang aplikasi nya bantu bgt smua yang cari """
"1683,"" barang tujuan status barang berubah menjadi diterima  pihak shopee dipertegas jasa pengirimannya"""
"1684,"" shopee  transaksi gk server eror terus internet stabil """
"1685,"" shope  gx gratis ongkir nya klo blnja shope dapat vocer gratis  gx """
"1686,"" sih tidak dapet gratis ongkir cashback shope """
"1687,"" verifikasi ktp gagal asem"""
"1688,""bagus"""
"1689,""bagus miminnya"""
"1690,""kenapa pemberitahuan ttg lacak paket dimana koq pemberitahuannya bolak balik misalnya paket sdh jakarta selanjutnya paket dikirm pekanbaru pemebritahuan paket dijakarta sprti  bingung pemberitah """
"1691,"" ya orang masuk aplikasi shoopee yang punya sya punya shoopepay later shoopepay orang melakukan transaksi pembelian pulsa kali memakai shoopepaylater mulai kecewa shopee aman """
"1692,"" ga update sih"""
"1693,""luar shopee belanja nya hemat kirim barang nya jadi cepat aman """
"1694,""maaf"""
"1695,""maaf bintang turunin satu persatu develover  diperkecil ukuran aplikasi data nya fr suka ukuran aplikasi mengecewakan  hh lowend buatlah yang versi lite  hh ram """
"1696,""maaf kak baru kali kecewa shopee belanja pembayaran shopeepay digunakan lupa pinnya shopeepay diblokir kecewa orderan dicancel pemberitahuan pihak shopee  solusinya mentidaktifkan """
"1697,""maaf ubah bintang satu pas beli token listrik lewat shoopepay voucher cashbacknya uang senilai membeli token habis vouvhernya cashbacknya pakai tuh voucher untung aja token listriknya masuk cmk kecewa cashback lew ulasan lengkap"""
"1698,"" mudah belanja shopee"""
"1699,"" parah aja nie shopee hari barang udh nyampek hari barang baru nyampek jujur aja mles belanja sekarng """
"1700,""mantaap """
"1701,""bagus """
"1702,""bagus cod """
"1703,""bagus la"""
"1704,""bagus pokoknya"""
"1705,""bagus """
"1706,""baguspp bagus bangettt"""
"1707,""bagusp """
"1708,"" ya tambahin nomor kurir dihubungin barang diterima tpi settus sudh dikirim"""
"1709,""memuaskan"""
"1710,""memuaskan"""
"1711,""mengecewakan download menunggu jm selesai balik awal tidak lngsung kepasang"""
"1712,""mmmmmmmmmmmaa"""
"1713,""bagus"""
"1714,""mudah transaksinya """
"1715,""ndak bagus"""
"1716,""ntidak cod wilayah nabire"""
"1717,""nice shopee bagus"""
"1718,""ntapss"""
"1719,""nyaman cepat murah"""
"1720,""ok belanja lu coba aja hari flash sale loh bagusppp produk ok ok kalo ga percaya coba aja """
"1721,""ok bagus"""
"1722,""ok shopee"""
"1723,""online shop terbaik"""
"1724,""original produk"""
"1725,""p a """
"1726,""penangan dri sbuah masalah sngat lambat beda dg mp sebelah shopee menang gratis ongkir gratis ongkir nya uda gk mending pakai tokopedia"""
"1727,""pengalaman selalu belanja ya shopee trus bro"""
"1728,"" penjual nya rata amanah ramah bagus job sophie """
"1729,""pertahankan pelayanan konsumen"""
"1730,""pokoknya sip """
"1731,""produk ok"""
"1732,""puas"""
"1733,""puas belanja shopee """
"1734,""puasss belanja shopee"""
"1735,""respon cepat cod """
"1736,""rumit bgt gratia ongkir aj pake shopee pay"""
"1737,"" bagus banget aplikasi shopee frnya bagus kece diskon gede gedean bulannya diskon membantu banget deh pokoknya customer service siap membantu jam masalah dilayanan shopee i love shopee berkembang yaaa tetep ja """
"1738,"" bagus memuaskan"""
"1739,"" bail"""
"1740,"" membantu"""
"1741,"" membantu  jual beli"""
"1742,"" memuaskan belanja shopee """
"1743,""tt tt bagusssssss"""
"1744,""sanggat puas"""
"1745,""sapa"""
"1746,"" kasih bintang krn kecewa shoppe nelpon nomor temn alasan nomor dihubungi"""
"1747,"" senang belanja shope krn harga barang murah pelayanan ok kalo perbanyak voucher free ongkir donk hehehe"""
"1748,"" suka belanja shopee barang kondisi baik sesuai dgn keinginan kualitas bagus sesuai dgn harga mengecewakan waktu pengirimannya cepat puas banget kak belanja shopee """
"1749,"" suka """
"1750,""sekedar saran aja aplikasi belanja online bekerja  mempersempit gerak pembobol aqun melindungi peraturan karena korbanya"""
"1751,"" puas berbelanja online shopee tingkatkan kualitas kemudahan pelayanan  pelanggan pokoknya beli shopee """
"1752,"" produknya bagus"""
"1753,""semuaa bagusp kurangnya no telvon rubah email tp tetap tdak ubah sya gunakan shopeepay nya nomor yang terdaftar sdh hilang klo bantu sya beri """
"1754,""senang belanja shopee"""
"1755,"" lambat shopee knapa ya mintak gimana"""
"1756,""seru punya aplikasi shopee aja main game perlu download game semoga ngerasain menang undian hadiah dr shopee """
"1757,""shope hancurrr soal pelayan retur pengembalian dana keluhan persulit secara lngsung menguntungkan penjual """
"1758,""shopee jaringannya  perbaiki tidak lambat  hp jadul"""
"1759,""shopee hari bagus"""
"1760,""shopee bagus memudahkan  berbelanja"""
"1761,""shopee petipu"""
"1762,""shopee tempat nyaman aman  belanja shopee tempat mengembangkan bisnis terimakasih shopee"""
"1763,""shopee the best of the best"""
"1764,"" shopeepaylater udah dibayar diteleponin malem bikin orang risih """
"1765,""shoppe oke"""
"1766,""mudah """
"1767,""solusi cepat tepat belanja baju dll"""
"1768,""suka"""
"1769,""sukaaa belanja shopee bagus dehhhh"""
"1770,""suka """
"1771,""sukses ya """
"1772,"" sumpah gk jelas banget nih aplikasi jaringan udh super duper bagus lancar masuk shopee susah banget foto nya tidak muncul jaringan stabil shopee nya kek g yaa legleg tidak jelas """
"1773,""terbaik pokoknya"""
"1774,""terima kasih"""
"1775,""thanks shopee"""
"1776,""toko online yang recomended krn no tipu """
"1777,"" diperbaiki bug login menggunakan akun google masalah nya akun shopee via google dibuat login diarahkan daftar daftar akun shopee  cek diperbaiki akun daftar usah daftar la ulasan lengkap"""
"1778,"" developer shoopy adain cod pembayaran sma kurir ekspedisi mh ko cma jnt doang jga klo anterin mh jarang d anterin rumah jnt klo ekpesdi jne ninja expres si cepat reg suka k rumah bde jnt suka ambil pket sendri terima kasih"""
"1779,""bagus"""
"1780,""trpercaya aman amanah semoga sllu peningkatan tambahan yang positif """
"1781,"" masalah retur barang pengembalian barang dana buruk bukti perbedaan barang normal barang rusak bukti kurir paket kerumah barang terima buka coba kabelnya ternyata kabel rusak rus """
"1782,"" voucher gratis ongkir ga sesuai ketentuan tertulis gratis ongkir xtra potongkan ongkir rp ribu pesanan pakai potonganya rp ribu nya real aja klo ribu tulis ribu ok """
"1783,""uwes kurang tidak """
"1784,""verifikasi manual """
"1785,""woww"""
"1786,"" free ongkir bersyarat dgn min pembelian kalo ngga jadi kalo flashsale beli ongkir  flashsale ga pake krn mahal ongkir loading suka lambat hati belanja tas garut komplein tali putus nego marah baru ganti tas dgn sombongnya bi """
"1787,""ak sukaaa bgtt shoppe"""
"1788,""akhir akhir pembayaran menggunakan shopeepay mengalami gangn"""
"1789,"" suka banget shopee """
"1790,"" sih perbedaan update sm download"""
"1791,""apaansi lambat banget"""
"1792,""apasi bangsat gajelas banget udah berhasil beli voucher flash sale pembayaran udah berhasil tiba tiba dibatalkan shopee tidak jelas sumpah aplikasi berat servernya busuk """
"1793,""aplikasi belanja online yang mudah digunakan aman nyaman """
"1794,""aplikasi bagus banget"""
"1795,""aplikasi ol shop favorit  n kelg jualan lengkap payment mudah harga berani diadu ol shop """
"1796,""aplikasi shopee ko jdi gk bsa buka"""
"1797,""aplikasi shopeeing no seller bergabung """
"1798,""aplikasi toko online yang bagus thanks shopee"""
"1799,""aplikasi yang mudah digunakan"""
"1800,""aplikasinya gampang sederhana mudah"""
"1801,""aplikasinya lg lambat bgt brlakangan nyedot memori """
"1802,""bagus"""
"1803,""bagus"""
"1804,""bagus"""
"1805,""bagus aplikasinya"""
"1806,""bagus aplikasinya gratis ongkir"""
"1807,""bagus banget ongkir mahal """
"1808,""bagus gratis ongkir"""
"1809,""bagus """
"1810,""bagus murah murah murah """
"1811,""bagus respon baik n pembatalan uang cepat dikembalikan trek barang jg detail jelas bagus pertahankan shopee """
"1812,""bagusss """
"1813,""barang yang dikirim sesuai yang diharaplikasian"""
"1814,""barangnya jelas kerumah"""
"1815,""belanja hemat praktis respon bagus penting g rumit"""
"1816,""belanja jd mudahh ga usah keluar rumah bagus deh shopee"""
"1817,""benja tidak rumit pengiriman cepat  wilayah indonesia harga variatip seler nya kalo kirim barang kadang suka beda foto pesan"""
"1818,""beras yang dikirim shopee tanam kutunya plastik berasnya solatip kirain solatip eh ternyata krn plastiknya udah sobek astagaaaa untung tidak beras donasi bahaya kalo berdonasi berasnya berkutu  diperhatikan kualitas barangnya ya tim shopee makasih """
"1819,""bermanfaat banget"""
"1820,"" pakai akulaku jadi enak bayar nya bulan """
"1821,""buruk update terus"""
"1822,""cepat murah"""
"1823,""cinta bgt sm shopee"""
"1824,""efek corona yang udah aktif lgi shopepayletter akun sy lg kurang bagus membantu tpi susahin orang"""
"1825,""enak belanja shopee terpercaya"""
"1826,""eror"""
"1827,""ga ngenakin harus menunggu persetujuan penjual mmbatalkan pesanan ya klo kondisinya ga  pembeli masa kudu kejam g sih shopeepay nya ga balik barangnya dikemas alasan udah dikirim buyer ngebatalin nih liat nih belum dikirim terakhir pake c """
"1828,""game shopee candy macet dilanjan koneksi jaringan baik susah payah mendapatkan bintang shopee curang """
"1829,""gimana nih akun bs dibuka dsalah gunakan petipu memakai shopeepay later sy sdh cb cs shopee akun dibekukan sy sdh cb masuk kembali keakun tp no  otp nya sdh dganti ptipu jd sy ga bs masuk akun  kak ga bs ganti rugi """
"1830,""bagus aplikasi"""
"1831,""bagus job"""
"1832,""gratis ongkir pakai toko nya gratis ongkir kecewa"""
"1833,""gw download pen dapetin hadiah uang game v"""
"1834,""halloo shopee bagus banget  ukuran aplikasi nya kecilkan kasian loh yang ruang penyimpanan nya penuh edit terakhir kali install shopee ukurannya mb an naik drastis jadi mb ya  kecilkan """
"1835,""happy shopping"""
"1836,""harga hemat bnyk promo pengiriman cepat"""
"1837,""hay kak yang jawab pesan kabar mu """
"1838,""iklan cut"""
"1839,"" aplikasi belanja yh download video kenapah gw masuk sinih anjg"""
"1840,""jadinya tidak masuk lewat akun google"""
"1841,""jualan pulsa lewat shpoee subhannallah bikin naik darah """
"1842,""kadang kadang suka eror"""
"1843,""kalo bintang nol kasih bintang nol beli pulsa laporan terkirim kenyataannya pulsa masuk minta pengembalian dana ditolak hubungi costumer servis kasih liat laporan pengiriman abis end chat nyatanya pulsa tidak masuk bangke"""
"1844,""kalo salah order lg error shopeenya minta cancel cod lah jangan d persulit sampe ditolak barang belum dikirim mentingin rating giliran penjual yang salah maen cancel aja kasihan kurir dtg ujung nya ditolak kalo murah sih ga pa terpaksa terima kurir kalo """
"1845,""kembaliin uang """
"1846,"" jadi ga jalan advan g i e fore close """
"1847,"" ga pake voucher gratis ongkir khusus shopeepay isi saldo pas dipake voucher gratis ongkir digunakan bikin kesal aja"""
"1848,"" gratis ongkos kirim khusus shopeepay aja tidak """
"1849,"" ya opsi pengiriman ngga ganti jadi ga cod"""
"1850,""kereen"""
"1851,""bagus"""
"1852,"" akun kena hack saldo berkurang  bantuannya pihak shopee"""
"1853,"" ntidak update yah udah d coba berkali pas buka shoopenya ntidak kembali mulu beranda auto emosi ntidak belanja """
"1854,""kontollllllll"""
"1855,""lamattttttt"""
"1856,""limit shopee pay later dikembalikan bayar tepat waktu sdh tidak punya pinjaman bulan"""
"1857,""loading update"""
"1858,""love it """
"1859,""lumayan """
"1860,""maaf sya konfirmasi sya pesanan barang sya barang ya tidak tau  konfirmasi atas nama dadan tagihan masuk aplikasi akulaku sya """
"1861,""makasih atas tanggapan nya shopee order panci muegen harganya masak ongkos ongkir nya kmahalan """
"1862,""bagus belanja """
"1863,""mantaff"""
"1864,""bagus gratis ongkir terusan g usah undang brand ambasador ga penting penting gratis ongkir"""
"1865,""bagus """
"1866,""bagus sesuai pesanan kesuwun kabeane bae """
"1867,""bagusppp"""
"1868,""mb ny gede bgt install gbsa """
"1869,""mempermudah berlanja harga terjangkau syukaa pokonamah """
"1870,""memuaskan"""
"1871,""memuaskan belanja d """
"1872,""mencoba """
"1873,""min kenapa ya udh pesan kemarin skrng krim mesen next day rencana nya memberi barang nya adek krim """
"1874,""min kasus petipuan mengatasnamakan pihak sophee  tindak lanjutin kasihan yang jadi korbannya aplikasi sophee jadi hack"""
"1875,""mudah aman  belanja"""
"1876,""online shop yang cepat miskin krn belanja hahaha thanks shopee"""
"1877,""ora teyeng nginstal"""
"1878,"""""
"1879,""pelayanan buruk pencairan dana """
"1880,""pelàyannya sipp"""
"1881,""pengalaman pertama gara voucher gratis ongkir musti pake shopeepay udah bagusup bayar ujung nya gagal terus pas pesanan anj emang buang waktu uang aja malas  pke app syarat """
"1882,""pengalaman yang buruk beli blender x x pecah kecewa paking dgn pengirimannya hati hati """
"1883,""pengiriman cepat"""
"1884,""pesan barang nominal yang besar dapatnya kardus kosong mengajukan komplain admin mlh ditipu lg admin sophie payaah """
"1885,""poler"""
"1886,""pp"""
"1887,""promooonya metipuuuuu ga niat bikin promooooo """
"1888,""puas belanja shope"""
"1889,""puas belanja shopee"""
"1890,""puas belanja """
"1891,""puas shopee"""
"1892,""puas dg pelayanan pembelian nya """
"1893,""puass mudah diskon bagus"""
"1894,""rekomen bgt beli barang jaminan nya"""
"1895,""rip shope yang tidak mementingkan pelangganya pengembalian dana tidak diselesaikan kebanyakan ngemeng doang barang hilang gatau kemana alamat dmn barang sy kemana entahh pake kurir shope express standar mengecewakaaaannnn t kecewa besar cukup sekian ya sho """
"1896,"" membantu bisnis """
"1897,"" membantu pokonya bagus """
"1898,"" membantu tp ga sesuai sm yang dijanjikan """
"1899,"" puas belanja shopee terima kasih shoppy"""
"1900,"" senang belanja """
"1901,"" senang dapat shopeepay later smoga tambah lg besar limit nya"""
"1902,"" baru menjual produk hari shopee baru install aplikasi nya pagi login baru siangnya upload produk pas isi data keterangan barang yang jual pas bagian ongkoa kirim tidak muncul pilihan jasa kirim yang aya gunakan """
"1903,"" beri bintang ya min tanya  jadi seller shopee punya akun pilihan beli postingan g pilihan jual nya gimana ya  bantuan nya min kalo jadi mitra baru tambah bintang jadi pooll terimakasih"""
"1904,"" baru ganti hp ga login hp yang baru sllu tulisan jaringan bermasalah jaringan baikbaik ajah akun yang hp logout  bantuannya pengguna butuh aplikasi shopee karena memudahkan  berbelanja """
"1905,"" kasih bintang kesusahan bayar pengguna ewallet saranin tambahin dana ovo gopay link aj g biar gampang"""
"1906,"" kecewaa membuka event ajak teman shopee orang jaringan wifi dirumah bagus pencet link tetap zoonkk  lahh perbaiki """
"1907,"" suka belanja shopee apalg dapat gratis ongkir shopee suka lambat sinyalnya ato yah loadingnya klo beli pulsa bikin kesal"""
"1908,"" suka """
"1909,"" turunin pengaduan verivikasi akun tidak shopypay akun tidak bantu pijak shopee"""
"1910,""sebenernya enak belanja shopee akhir akhir akun suka out  melihat daftar belanja nya download playstore download update menggunakan data besar aplikasi nya dibuka"""
"1911,"" dishopee aman"""
"1912,""sejauh alhamdulillah lumayan puas tingkatkan terus ya shopee masalah ekspedisi"""
"1913,""sejauh aman"""
"1914,"" klo pengembalian dana banget minggu huhuhu cepat ga hari uang udah kembali udah peminatnya  diperbaiki ya min """
"1915,"" bulan d perbarui aplikasinya ga toko gratis hrus pilih toko yang gratis gratis ongkir cuman d kasih separoh sisanya bayar jd kurang memuaskan sperti """
"1916,"" diperhatikan shopee """
"1917,"" lambat melakukan penilaian back asu jarannn"""
"1918,"" belanja shopee pengirimannya lancar cepat"""
"1919,"" belanja shopee so far sesuai ekspektasi belum yang tidak sesuai mudah mudahan pertahankan ya"""
"1920,"" update aneh masa  mencari barang yang ketemu shoppe yang pencet keluar jadi kecewa"""
"1921,""semoga mkn sukzes ya shopee yang puas n free ongkir makasih """
"1922,"" gratis ongkir"""
"1923,"" nge lag  mah"""
"1924,"" tertipu beli hp"""
"1925,""shopayleter gunakan """
"1926,""shopee emang bagus"""
"1927,""shopee is the best"""
"1928,""shopee ku ngga ikut goyang shopee kenapa yaa klo ikut goyang koin tetes airnya ngga bergerak upgrade shopee ku ngga yaa"""
"1929,""shopee membantu penyediaan kebutuhan sehari hari yang butuhkan sebagian besar didapatkan shopee terima kasih shopee"""
"1930,"" shopee tanam baik istimewa ambil ekstra air gaperlu lelahk kaya goyang pohon teman """
"1931,""shopee tanamnya ngga seru udah dapet koinnya dikit dipersulit ambil tetesan air aja goyang shopee dikit tetes bikin pengguna shopee nyaman dooong"""
"1932,""shopee melakukan transaksi dg baik moga tambah maju """
"1933,""shoppy ok bagus"""
"1934,""sopi juala onlen yang terbaik"""
"1935,""suka banget shoppe gratis ongkir pengiriman cepat"""
"1936,""suka bangettt aplikasi racun bikin laper mata belanja terusssss"""
"1937,""suka belanja shopee diskon gratis ongkir syarat """
"1938,""suka apapun shopee kcuali kecepatannya pengguna aplikasi shopee lambat ketimbang aplikasi belanja onlen semoga pengguna baik performa aplikasi shopee nya makasih"""
"1939,""sumpah dah aplikasi udah abisin data tpi mas masuk lag lag lag terus keluar kecewa sihhh"""
